category,course_id,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major
思想政治理论,3322100010,思想道德修养与法律基础,3,48,48,0,1,必修,考试,,物联网工程
思想政治理论,3322100060,中国近现代史纲要,2.5,40,40,0,2,必修,考试,,物联网工程
思想政治理论,3322100090,习近平新时代中国特色社会主义思想概论,2,32,28,4,1,必修,考试,,物联网工程
思想政治理论,3322100070,马克思主义基本原理概论,2.5,40,40,0,3,必修,考试,,物联网工程
思想政治理论,3322100080,毛泽东思想和中国特色社会主义理论体系概论,4,64,64,0,4,必修,考试,,物联网工程
思想政治理论,1052100010,形势与政策1,0.4,6.4,6.4,0,1,必修,考查,,物联网工程
思想政治理论,1052100020,形势与政策2,0.4,6.4,6.4,0,2,必修,考查,,物联网工程
思想政治理论,1052100030,形势与政策3,0.4,6.4,6.4,0,3,必修,考查,,物联网工程
思想政治理论,1052100040,形势与政策4,0.4,6.4,6.4,0,4,必修,考查,,物联网工程
思想政治理论,1052100050,形势与政策5,0.4,6.4,6.4,0,5,必修,考查,,物联网工程
体育、美育,3812150010,体育基础,1,32,8,24,1,必修,考查,,物联网工程
体育、美育,2122110002,军事理论,2,32,32,0,2,必修,考查,,物联网工程
体育、美育,2122120000,大学生心理健康,0.5,8,8,0,1,必修,考查,,物联网工程
体育、美育,2122100090,安全教育,0,12,12,0,1,必修,考查,,物联网工程
英语,3312110316,综合英语（上）,2,32,32,0,1,必修,考试,,物联网工程
英语,3312110326,综合英语（下）,2,32,32,0,2,必修,考试,,物联网工程
英语,3312110336,进阶听说（上）,2,32,32,0,1,必修,考查,,物联网工程
英语,3312110346,进阶听说（下）,2,32,32,0,2,必修,考查,,物联网工程
英语,3312111040,商务英语与国际交流,2,32,32,0,2,选修,考查,非全校公选,物联网工程
英语,3312111130,英语中级读写,2,32,32,0,2,选修,考查,非全校公选,物联网工程
英语,3312111140,视听电影,2,32,32,0,2,选修,考查,非全校公选,物联网工程
数学与自然科学,3412110079,线性代数,3,48,48,0,1,必修,考试,,物联网工程
数学与自然科学,3412110019,高等数学A(上),5,80,80,0,1,必修,考试,,物联网工程
数学与自然科学,3412110029,高等数学A(下),5,80,80,0,2,必修,考试,,物联网工程
数学与自然科学,3412120039,大学物理C,4,64,64,0,2,必修,考试,,物联网工程
数学与自然科学,3412110277,离散数学,4,64,64,0,3,必修,考试,,物联网工程
数学与自然科学,3412110099,概率论与随机过程,3,48,48,0,4,必修,考试,,物联网工程
数学与自然科学,3412160061,矩阵理论与方法,2,32,32,0,3,选修,考查,矩阵理论与方法/运筹学/数学建模与模拟至少选修2学分,物联网工程
数学与自然科学,3412110160,运筹学 ,2,32,32,0,3,选修,考查,矩阵理论与方法/运筹学/数学建模与模拟至少选修2学分,物联网工程
数学与自然科学,3412110170,数学建模与模拟,2,32,32,0,3,选修,考查,矩阵理论与方法/运筹学/数学建模与模拟至少选修2学分,物联网工程
学科基础,3132112029,计算导论与程序设计,4,64,56,8,1,必修,考试,,物联网工程
学科基础,3112190100,电子系统基础,3,48,48,0,2,必修,考试,,物联网工程
学科基础,3512143741,信号与系统,3,48,40,8,3,必修,考试,,物联网工程
学科基础,3132100089,数据结构,4,64,48,16,3,必修,考试,,物联网工程
学科基础,3512142023,数字电路设计,3,48,40,8,4,必修,考试,,物联网工程
专业基础,3132114019,物联网技术导论,2,32,32,0,3,必修,考试,,物联网工程
专业基础,3512156021,数据库,3.5,56,48,8,4,必修,考试,,物联网工程
专业基础,3512152011,机器学习,2.5,40,32,8,5,必修,考试,,物联网工程
专业基础,3512152121,通信与网络,3.5,56,48,8,5,必修,考试,,物联网工程
专业基础,3512152041,操作系统,4,64,48,16,5,必修,考试,,物联网工程
专业基础,3512154771,嵌入式系统,3.5,56,48,8,6,必修,考试,,物联网工程
专业基础,3512142011,JAVA高级语言程序设计,3,48,32,16,4,必修,考试,,物联网工程
专业基础,3512156071,产品开发与管理,2.5,40,40,0,4,必修,考试,,物联网工程
专业基础,3512165111,中间件技术,3,48,40,8,5,必修,考试,,物联网工程
专业基础,3512160101,密码学与网络安全,2.5,40,32,8,5,必修,考试,,物联网工程
专业基础,3512163043,软件工程,3,48,36,12,6,必修,考试,,物联网工程
专业基础,3512164081,无线射频识别(RFID),2.5,40,40,0,6,必修,考试,,物联网工程
专业基础,3132114049,无线传感器网络,2,32,32,0,6,必修,考试,,物联网工程
专业基础,3512175001,云计算,3,48,32,16,7,必修,考试,,物联网工程
专业基础,3132114039,物联网工程实践,3,48,12,36,7,必修,考试,,物联网工程
专业基础,3512165041,智能基础架构与数据架构,2.5,40,40,0,7,必修,考试,,物联网工程
专业基础,3132114059,物联网信息处理技术,2,32,32,0,6,选修,考查,物联网信息处理技术与物联网通信技术至少选修2学分,物联网工程
专业基础,3132114069,物联网通信技术,2,32,32,0,6,选修,考查,物联网信息处理技术与物联网通信技术至少选修2学分,物联网工程
专业基础,3132111040,算法设计与分析,2,32,32,0,5,选修,考查,,物联网工程
专业基础,3132133010,Python程序设计,2,32,24,8,5,选修,考查,,物联网工程
专业基础,3132132110,大数据技术与应用,2,32,16,16,6,选修,考查,,物联网工程
专业基础,3112100430,移动互联网,2,32,32,0,6,选修,考查,,物联网工程
专业基础,3132121310,Linux开发环境及应用,2,32,24,8,6,选修,考查,,物联网工程
专业基础,3132123331,深度学习,2,32,32,0,7,选修,考查,,物联网工程
专业基础,3132112080,服务科学与服务工程概论,2,32,32,0,7,选修,考查,,物联网工程
专业基础,3132114070,多媒体技术,2,32,32,0,7,选修,考查,,物联网工程
