category,course_id,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major,year
思想政治理论,3322100012,思想道德与法治,2.5,40,40,0,1,必修,考试,,电子信息工程,2024
思想政治理论,3322100060,中国近现代史纲要,2.5,40,40,0,2,必修,考试,,电子信息工程,2024
思想政治理论,3322100021,马克思主义基本原理,2.5,40,40,0,3,必修,考试,,电子信息工程,2024
思想政治理论,3322100083,毛泽东思想和中国特色社会主义理论体系概论,2.5,40,40,0,4,必修,考试,,电子信息工程,2024
思想政治理论,3322100092,习近平新时代中国特色社会主义思想概论,3,48,40,8,1,必修,考试,,电子信息工程,2024
思想政治理论,1052100010,形势与政策1,0.4,6,6,0,1,必修,考查,,电子信息工程,2024
思想政治理论,1052100020,形势与政策2,0.4,6,6,0,2,必修,考查,,电子信息工程,2024
思想政治理论,1052100030,形势与政策3,0.4,6,6,0,3,必修,考查,,电子信息工程,2024
思想政治理论,1052100040,形势与政策4,0.4,6,6,0,4,必修,考查,,电子信息工程,2024
思想政治理论,1052100050,形势与政策5,0.4,8,8,0,5,必修,考查,,电子信息工程,2024
思想政治理论,3322111020,中共党史,1,16,16,0,2,选修,考查,四门至少选修一门,电子信息工程,2024
思想政治理论,3322111026,中华人民共和国史,1,16,16,0,2,选修,考查,四门至少选修一门,电子信息工程,2024
思想政治理论,3322111021,改革开放史,1,16,16,0,2,选修,考查,四门至少选修一门,电子信息工程,2024
思想政治理论,3322111022,社会主义发展史,1,16,16,0,2,选修,考查,四门至少选修一门,电子信息工程,2024
体育基础,3812150010,体育基础,1,32,8,24,1,必修,考查,,电子信息工程,2024
体育基础,3812150010,体育基础,1,32,8,24,2,必修,考查,,电子信息工程,2024
国防教育,2122110003,军事理论,2,36,36,0,1,必修,考查,,电子信息工程,2024
心理健康,2122120021,大学生心理健康（慕课）,0,16,16,0,2,必修,考查,成绩达标方可毕业,电子信息工程,2024
国家安全,2122100100,国家安全教育（上）,0.5,8,8,0,1,必修,考查,,电子信息工程,2024
国家安全,3322111017,国家安全教育（下）,0.5,8,8,0,2,必修,考查,,电子信息工程,2024
国际交流,3312111122,新视野英语A（上）,2,32,32,0,1,必修,考试,三选一,电子信息工程,2024
国际交流,3312111123,新视野英语B（上）,2,32,32,0,1,必修,考试,三选一,电子信息工程,2024
国际交流,3312111124,新视野英语C（上）,2,32,32,0,1,必修,考试,三选一,电子信息工程,2024
国际交流,3312111126,新视野英语A（下）,2,32,32,0,2,必修,考试,,电子信息工程,2024
国际交流,3312111127,新视野英语B（下）,2,32,32,0,2,必修,考试,,电子信息工程,2024
国际交流,3312111128,新视野英语C（下）,2,32,32,0,2,必修,考试,,电子信息工程,2024
国际交流,3312111125,进阶听说（上）,2,32,32,0,1,选修,考查,,电子信息工程,2024
国际交流,3312111129,进阶听说（下）,2,32,32,0,2,选修,考查,,电子信息工程,2024
国际交流,3312111130,英语中级读写,2,32,32,0,2,选修,考查,,电子信息工程,2024
国际交流,3312111140,试听电影,2,32,32,0,2,选修,考查,,电子信息工程,2024
国际交流,3312111040,商务英语与国际交流,2,32,32,0,2,选修,考查,,电子信息工程,2024
国际交流,3312111132,英语品中国——文化对话科技,2,32,32,0,3,必修,考查,,电子信息工程,2024
AI+ICT素质课,3112103350,信息通信概论A,1,16,16,0,1,必修,考试,,电子信息工程,2024
AI+ICT素质课,3212114592,领导力与可持续发展,1,16,16,0,2,选修,考查,指选,电子信息工程,2024
AI+ICT素质课,3512142131,AI基础及应用,2.5,40,40,0,3,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110079,线性代数,3,48,48,0,1,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110019,高等数学A(上) ,5,80,80,0,1,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110029,高等数学A(下) ,5,80,80,0,2,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412120049,基础物理（I）,4,64,64,0,2,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412120048,基础物理（II）,2,32,32,0,3,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110128,工程数学,3,48,48,0,3,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110099,概率论与随机过程,3,48,48,0,4,必修,考试,,电子信息工程,2024
数学与自然科学基础,3412110199,计算方法,2,32,32,0,3,选修,考查,,电子信息工程,2024
数学与自然科学基础,3412120199,近代物理,2,32,32,0,4,选修,考查,,电子信息工程,2024
计算机基础,3132112029,计算导论与程序设计,4,64,56,8,1,必修,考试,,电子信息工程,2024
计算机基础,3182100039,数据结构,2,32,32,0,3,必修,考试,,电子信息工程,2024
计算机基础,3512142112,面向对象程序设计,3,48,32,16,4,必修,考试,,电子信息工程,2024
计算机基础,3512153142,软件工程,3,48,36,12,6,必修,考试,,电子信息工程,2024
计算机基础,3132100132,数据库技术与应用,2,32,32,0,4,选修,考试,,电子信息工程,2024
学科基础,3112190100,电子系统基础,3,48,48,0,2,必修,考试,,电子信息工程,2024
学科基础,3112190019,电子电路基础,3,48,40,8,3,必修,考试,,电子信息工程,2024
学科基础,3512143742,信号与系统,3,48,48,0,3,必修,考试,,电子信息工程,2024
学科基础,3512142023,数字电路设计,3,48,40,8,4,必修,考试,,电子信息工程,2024
学科基础,3512153763,数字信号处理,4,64,48,16,4,必修,考试,,电子信息工程,2024
学科基础,3912103040,人工智能概论,2,32,32,0,1,选修,考查,,电子信息工程,2024
专业基础,3112191280,计算机网络,3,48,48,0,6,必修,考试,,电子信息工程,2024
专业基础,3122101058,电磁场与电磁波,3,48,48,0,5,必修,考试,,电子信息工程,2024
专业基础,3112191120,通信原理,5,80,72,8,5,必修,考试,,电子信息工程,2024
专业基础,3512163031,多媒体原理及编码技术,3,48,40,8,5,必修,考试,,电子信息工程,2024
专业课-学科交叉模块,3512152011,机器学习*,2.5,40,32,8,5,必修,考试,,电子信息工程,2024
专业课-学科交叉模块,3512156101,工程创新与技术*,2.5,40,40,0,6,必修,考试,,电子信息工程,2024
专业课-学科交叉模块,3512191023,计算思维与设计美学,2,32,24,8,2,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-学科交叉模块,3512191023,计算思维与设计美学,2,32,24,8,3,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-学科交叉模块,3912181080,智能交互机器人技术与应用,2,32,16,16,5,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-学科交叉模块,3912181080,智能交互机器人技术与应用,2,32,16,16,6,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-学科交叉模块,3912181090,智能网联驾驶技术及应用,2,32,16,16,3,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-学科交叉模块,3912181090,智能网联驾驶技术及应用,2,32,16,16,4,选修,考查,三选一，至少2学分,电子信息工程,2024
专业课-媒体应用模块,3512160181,高级变换,2.5,40,32,8,5,必修,考试,,电子信息工程,2024
专业课-媒体应用模块,3512162302,图形与视频处理,2.5,40,32,8,6,必修,考试,,电子信息工程,2024
专业课-媒体应用模块,3512153051,交互式媒体设计,2.5,40,32,8,4,必修,考试,,电子信息工程,2024
专业课-媒体应用模块,3512154051,3D图形程序设计,2.5,40,32,8,7,必修,考试,,电子信息工程,2024
专业课-通信网络模块,3112191130,多媒体通信技术,2,32,24,8,6,选修,考查,,电子信息工程,2024
专业课-通信网络模块,3112191270,信息论,2,32,32,0,6,选修,考查,,电子信息工程,2024
专业课-通信网络模块,3112191140,6G多能力融合网络,2,32,32,0,6,选修,考查,,电子信息工程,2024
